,cat1,cat2,cat3,brand_name
12002,HAN,Accessories,Scarf,Others
12059,WOM,Jeans,Relaxed,Others
12060,VIN,Toy,Action Figure,Hasbro
12071,WOM,Dresses,"Above Knee, Mini",Vintage
12102,WOM,Jeans,Boot Cut,7 For All Mankind®
12109,WOM,Underwear,Bras,Nasty Gal
12115,WOM,Pants,Linen,PINK
12124,BEA,Makeup,Face,Jeffree Star Cosmetics
12143,WOM,Tops & Blouses,T-Shirts,PUMA
12150,OTH,Automotive,Other,Others
12156,MEN,Coats & Jackets,Flight,Carhartt
12167,WOM,Jeans,Other,Silver Jeans Co.
12175,KID,Health & Baby Care,Sun Protection,Others
12190,MEN,Tops,Button-Front,Rock Revival
12202,ELE,"TV, Audio & Surveillance",Home Speakers & Subwoofers,Beats by Dr. Dre
12205,WOM,Women's Handbags,Satchel,Louis Vuitton
12214,WOM,Women's Handbags,Shoulder Bag,kate spade new york
12232,KID,Nursery,Other,Others
12242,WOM,Suits & Blazers,Skirt Suit,Vintage
12290,MEN,Tops,Button-Front,Louis Vuitton
12298,WOM,Jeans,Flare,Silver Jeans Co.
12329,MEN,Men's Accessories,Other,Nordstrom
12403,MEN,Jeans,Boot Cut,Buckle
12464,BEA,Fragrance,Men,Chanel
12465,MEN,Suits,One Button,Others
12475,WOM,Coats & Jackets,Raincoat,vineyard vines
12478,NOI,no_info,no_info,Nintendo
12491,WOM,Tops & Blouses,Knit Top,PINK
12504,HAN,Pets,Pet Lover,Others
12529,MEN,Sweats & Hoodies,Track & Sweat Suits,Others
12532,WOM,Tops & Blouses,T-Shirts,Juicy Couture
12562,MEN,Pants,Casual Pants,Carhartt
12566,OTH,Musical instruments,Keyboards,Others
12627,HAN,Patterns,Sewing,Others
12632,KID,Safety,Electrical Safety,Others
12646,WOM,Women's Handbags,Cosmetic Bags,Vera Bradley
12659,VIN,Bags and Purses,Handbag,Michael Kors
12660,HAN,Children,Accessories,Others
12664,WOM,Women's Handbags,Backpack Style,Coach
12728,VIN,Accessories,Cuff Links,Others
12730,WOM,Women's Handbags,Shoulder Bag,Burberry
12777,MEN,Tops,Button-Front,patagonia
12827,MEN,Tops,T-shirts,Bape
12925,ELE,Cameras & Photography,Binoculars & Telescopes,Others
12942,VIN,Accessories,Belt,Others
12954,MEN,Sweats & Hoodies,"Sweatshirt, Pullover",Lululemon
12984,NOI,no_info,no_info,Betsey Johnson
13006,HAN,Paper Goods,Papermaking,Others
13030,WOM,Sweaters,Cardigan,Nordstrom
13042,WOM,Swimwear,Cover-Ups,Victoria's Secret
13052,WOM,Athletic Apparel,Vests,Others
13099,VIN,Book,Other,Others
13106,OTH,Musical instruments,Stringed Instruments,Others
13124,VIN,Bags and Purses,Purse,Juicy Couture
13140,BEA,Hair Care,Conditioners,Victoria's Secret
13223,WOM,Shoes,Pumps,Bebe
13246,HAN,Glass,Bowls,Others
13263,SPO,Fan Shop,NHL,Others
13294,WOM,Athletic Apparel,Snowsuits & Bibs,Others
13295,WOM,Women's Accessories,Belts,Lilly Pulitzer
13302,ELE,Cameras & Photography,Camcorders,Sony
13327,HAN,Crochet,Hat,Others
13329,WOM,Shoes,Sandals,Cole Haan
13422,WOM,Women's Handbags,Hobo,Michael Kors
13427,WOM,Sweaters,Collared,Others
13433,MEN,Men's Accessories,Watches,Nike
13476,WOM,Jewelry,Earrings,Customized & Personalized
13483,WOM,Pants,Casual Pants,Lilly Pulitzer
13485,WOM,Women's Accessories,Belts,Versace
13488,WOM,Dresses,"Above Knee, Mini",Victoria's Secret
13504,VIN,Paper Ephemera,Postcard,Others
13517,MEN,Sweats & Hoodies,Track & Sweat Pants,The North Face
13523,KID,Pregnancy & Maternity,Breastfeeding Pillows & Stools,Others
13526,ELE,"TV, Audio & Surveillance",Home Audio,Others
13534,KID,Bathing & Skin Care,Bathing Tubs & Seats,Others
13555,WOM,Pants,Cargo,Others
13569,WOM,Dresses,Full-Length,vineyard vines
13588,MEN,Other,Other,Burberry
13614,SPO,Outdoors,Hiking & Camping,Yeti
13619,WOM,Pants,"Capris, Cropped",Victoria's Secret
13639,WOM,Jewelry,Rings,Kate Spade
13645,BEA,Fragrance,Women,Tarte
13651,KID,Strollers,Travel Systems,Others
13706,WOM,Women's Accessories,Belts,ALDO
13708,ELE,Computers & Tablets,"Printers, Scanners & Supplies",HP
13733,MEN,Shorts,"Khakis, Chinos",Others
13742,WOM,Athletic Apparel,Shirts & Tops,The North Face
13765,VIN,Bags and Purses,Handbag,Coach
13780,WOM,Shoes,Pumps,Tory Burch
13791,BEA,Tools & Accessories,Makeup Brushes & Tools,Victoria's Secret
13813,WOM,Jewelry,Necklaces,Harley-Davidson
13816,WOM,Other,Other,Louis Vuitton
13833,WOM,Women's Accessories,Scarves & Wraps,lululemon athletica
13839,MEN,Sweats & Hoodies,Track & Sweat Pants,lululemon athletica
13848,BEA,Makeup,Makeup Sets,Lorac
13854,MEN,Sweaters,Full Zip,Gymshark
13899,WOM,Athletic Apparel,Shorts,7 For All Mankind®
13904,WOM,Women's Accessories,Other,Coach
13929,MEN,Shorts,Casual Shorts,PINK
13936,WOM,Skirts,Full Skirt,LuLaRoe
13961,KID,Boys (4+),Shoes,Jordans
13963,WOM,Athletic Apparel,"Pants, Tights, Leggings",Lilly Pulitzer
13974,WOM,Sweaters,Sweatercoat,Others
13992,VIN,Bags and Purses,Change Purse,Vera Bradley
13993,WOM,Tops & Blouses,"Tank, Cami",Reebok
13995,MEN,Tops,T-shirts,Jordan
14043,WOM,Jewelry,Necklaces,Tory Burch
14052,WOM,Coats & Jackets,Trench,LuLaRoe
14057,MEN,Men's Accessories,"Backpacks, Bags & Briefcases",Supreme
14090,WOM,Athletic Apparel,Tracksuits & Sweats,Lululemon
14113,WOM,Women's Accessories,Sunglasses,Vera Bradley
14120,VIN,Bags and Purses,Luggage,Michael Kors
14141,WOM,Tops & Blouses,Blouse,Bebe
14182,WOM,Athletic Apparel,Shorts,Nordstrom
14183,ELE,Video Games & Consoles,Consoles,Microsoft
14281,KID,Girls 2T-5T,Swimwear,Others
14283,OTH,Books,Politics & Social Sciences,Others
14288,WOM,Swimwear,Two-Piece,Lilly Pulitzer
14293,WOM,Tops & Blouses,Blouse,PINK
14360,SPO,Apparel,Boys,Adidas
14370,MEN,Coats & Jackets,Parka,Others
14379,VIN,Clothing,Sweater,vineyard vines
14393,WOM,Tops & Blouses,"Tank, Cami",Harley-Davidson
14404,WOM,Women's Handbags,Totes & Shoppers,Lululemon
14441,MEN,Men's Accessories,Sunglasses,Prada
14469,WOM,Women's Handbags,Shoulder Bag,Bebe
14484,MEN,Shoes,Fashion Sneakers,Jordans
14521,WOM,Women's Handbags,Hobo,Coach
14548,WOM,Tops & Blouses,T-Shirts,Disney Collection
14552,NOI,no_info,no_info,PUMA
14569,MEN,Athletic Apparel,Pants,Nike
14675,VIN,Toy,Children,Others
14717,WOM,Swimwear,Two-Piece,Nike
14776,WOM,Shoes,Sandals,Kate Spade
14792,WOM,Athletic Apparel,"Pants, Tights, Leggings",Disney Collection
14816,WOM,Women's Handbags,Satchel,A|X Armani Exchange
14821,WOM,Women's Handbags,Totes & Shoppers,Betsey Johnson
14823,WOM,Pants,Other,New Balance
14849,WOM,Women's Handbags,Messenger & Crossbody,kate spade new york
14859,VIN,Accessories,Keychain,Fossil
14868,WOM,Women's Handbags,Messenger & Crossbody,PINK
14890,BEA,Makeup,Eyes,MARC JACOBS
14894,WOM,Shoes,Boots,Coach
14909,KID,Toys,Games,Hasbro
14924,HAN,Paper Goods,Bookmark,Others
14968,KID,Toys,Dolls & Accessories,WWE
14997,VIN,Antique,Jewelry,Others
15037,HOM,Kitchen & Dining,Water Coolers & Filters,Lilly Pulitzer
15046,WOM,Underwear,Bras,Free People
15059,WOM,Women's Handbags,Shoulder Bag,MARC JACOBS
15075,WOM,Skirts,Full Skirt,Others
15086,WOM,Jeans,"Capri, Cropped",True Religion Brand Jeans
15090,WOM,Athletic Apparel,"Skirts, Skorts & Dresses",Lululemon
15125,KID,Girls 0-24 Mos,Coats & Jackets,The North Face
15150,KID,Toys,Action Figures & Statues,LEGO
15159,WOM,Shoes,Sandals,Lilly Pulitzer
15175,HOM,Home Appliances,Washers & Dryers,Others
15192,MEN,Sweaters,Full Zip,Others
15203,BEA,Other,Other,Victoria's Secret
15211,WOM,Women's Handbags,Messenger & Crossbody,Dooney & Bourke
15213,MEN,Men's Accessories,Hats,Gucci
15227,MEN,Shoes,Boots,ASOS
15229,WOM,Jewelry,Bracelets,Stamped
15246,WOM,Swimwear,Two-Piece,Lululemon
15311,SPO,Fan Shop,Other,Others
15328,WOM,Jeans,Leggings,Customized & Personalized
15372,HOM,Home Appliances,Air Purifiers,Others
15419,VIN,Accessories,Other,Nike
15423,WOM,Skirts,Mini,Free People
15433,SPO,Other,Other,Nike
15443,MEN,Shorts,Casual Shorts,Nike
15444,WOM,Jeans,"Slim, Skinny",7 For All Mankind®
15451,KID,Health & Baby Care,Teethers,Others
15475,NOI,no_info,no_info,TopShop
15550,WOM,Women's Handbags,Backpack Style,Chanel
15560,HOM,Home Décor,Candles & Holders,Scentsy
15572,VIN,Clothing,Sweater,PINK
15603,WOM,Coats & Jackets,Raincoat,Lululemon
15671,BEA,Makeup,Face,Bobbi Brown
15702,HOM,Bedding,"Decorative Pillows, Inserts & Covers",Others
15766,MEN,Shoes,Slippers,UGG Australia
15784,WOM,Athletic Apparel,"Skirts, Skorts & Dresses",LuLaRoe
15792,WOM,Tops & Blouses,"Tank, Cami",Nordstrom
15793,KID,Feeding,Pillows & Stools,Others
15798,HOM,Kitchen & Dining,Kitchen Knives & Cutlery Accessories,Others
15806,WOM,Underwear,Thermal Underwear,PINK
15821,WOM,Women's Accessories,Scarves & Wraps,PINK
15826,HAN,Music,Poster,Others
15859,MEN,Blazers & Sport Coats,Two Button,Others
15863,OTH,Magazines,Other,Others
15902,WOM,Shoes,Loafers & Slip-Ons,Birkenstock
15905,WOM,Sweaters,Shrug,Others
15918,KID,Boys (4+),Top & T-shirts,LEGO
15942,WOM,Coats & Jackets,Raincoat,L.L. Bean
15951,MEN,Coats & Jackets,Windbreaker,PUMA
15971,WOM,Women's Handbags,Totes & Shoppers,Gucci
16002,WOM,Athletic Apparel,Shirts & Tops,PUMA
16018,KID,Toys,Action Figures & Statues,tokidoki
16028,ELE,Cell Phones & Accessories,Headsets,Xbox
16041,WOM,Shoes,Loafers & Slip-Ons,Nordstrom
16043,WOM,Swimwear,Cover-Ups,Nike
16069,VIN,Clothing,Dress,Others
16090,KID,Boys 2T-5T,Other,Nike
16092,WOM,Women's Handbags,Cosmetic Bags,Juicy Couture
16097,WOM,Athletic Apparel,Sports Bras,Adidas
16098,WOM,Shoes,Pumps,Sam Edelman
16176,WOM,Dresses,"Above Knee, Mini",BCBGMAXAZRIA
16186,WOM,Women's Accessories,Wallets,Steve Madden
16200,WOM,Shoes,Fashion Sneakers,Michael Kors
16280,WOM,Suits & Blazers,Dress Suit,Others
16315,MEN,Tops,T-shirts,patagonia
16345,WOM,Tops & Blouses,Knit Top,Tory Burch
16400,WOM,Women's Handbags,Satchel,Tory Burch
16422,OTH,Books,Religion & Spirituality,Others
16453,MEN,Sweaters,Crewneck,Adidas
16456,KID,Nursery,Nursery Décor,Others
16457,WOM,Women's Handbags,Cosmetic Bags,Louis Vuitton
16480,KID,Toys,Novelty & Gag Toys,Others
16498,SPO,Apparel,Boys,Jordan
16504,HOM,Storage & Organization,"Racks, Shelves & Drawers",Others
16535,WOM,Sweaters,"Vest, Sleeveless",Others
16592,MEN,Shoes,Athletic,adidas Originals
16621,VIN,Collectibles,Porcelain,Others
16627,KID,Girls 2T-5T,Bottoms,Nike
16654,WOM,Women's Handbags,Other,Vera Bradley
16703,OTH,Pet Supplies,Cage,Others
16783,ELE,Cell Phones & Accessories,"Cases, Covers & Skins",LG
16784,WOM,Tops & Blouses,Blouse,ZARA
16831,VIN,Book,Fiction,Others
16833,WOM,Shoes,Loafers & Slip-Ons,Adidas
16844,WOM,Women's Accessories,Watches,Independent
16906,KID,Toys,Action Figures & Statues,DC Comics
16922,WOM,Tops & Blouses,Other,ZARA
16969,WOM,Women's Handbags,Satchel,kate spade new york
16986,WOM,Tops & Blouses,T-Shirts,Independent
17026,NOI,no_info,no_info,Lilly Pulitzer
17049,WOM,Tops & Blouses,Knit Top,BCBGMAXAZRIA
17064,WOM,Shoes,Sandals,UGG Australia
17088,BEA,Skin Care,Maternity,Others
17090,VIN,Accessories,Keychain,Kate Spade
17114,MEN,Coats & Jackets,Military,Others
17139,WOM,Athletic Apparel,"Pants, Tights, Leggings",Bebe
17178,HAN,Art,Print,Others
17180,WOM,Women's Handbags,Backpack Style,Kate Spade
17200,VIN,Supplies,Yarn,Others
17224,WOM,Skirts,Other,LuLaRoe
17279,WOM,Coats & Jackets,Puffer,ASOS
17305,WOM,Shoes,Sandals,Sperry
17340,HAN,Paper Goods,Gift Wrap,Others
17354,SPO,Exercise,Fitness accessories,Gymshark
17377,WOM,Women's Handbags,Hobo,Madewell
17446,MEN,Athletic Apparel,Shorts,Jordan
17452,WOM,Athletic Apparel,Shorts,Oakley
17459,WOM,Women's Accessories,Wallets,Burberry
17465,WOM,Tops & Blouses,Tunic,PINK
17474,WOM,Athletic Apparel,Jackets,Carhartt
17490,WOM,Women's Accessories,Sunglasses,Coach
17500,KID,Toys,Stuffed Animals & Plush,Hasbro
17553,HAN,Pets,Bed,Others
17558,WOM,Jeans,"Slim, Skinny",Juicy Couture
17569,WOM,Coats & Jackets,Fleece Jacket,Nike
17581,MEN,Men's Accessories,Belts,Michael Kors
17586,WOM,Sweaters,Sweatercoat,Independent
17593,MEN,Athletic Apparel,Pants,Gymshark
17630,ELE,Video Games & Consoles,Video Gaming Merchandise,Sony
17747,WOM,Tops & Blouses,T-Shirts,The North Face
17775,WOM,Sweaters,Other,ZARA
17783,VIN,Bags and Purses,Wallet,Lilly Pulitzer
17836,WOM,Shoes,Sandals,BCBGMAXAZRIA
17847,WOM,Shoes,Boots,Vince Camuto
17859,SPO,Outdoors,Water Sports,Others
17875,WOM,Jewelry,Bracelets,Tory Burch
17901,BEA,Makeup,Eyes,Chanel
17920,HAN,Glass,Sculptures,Others
17930,WOM,Women's Handbags,Messenger & Crossbody,Nordstrom
17931,MEN,Shoes,Fashion Sneakers,Gucci
17952,WOM,Jeans,Straight Leg,Buckle
18023,KID,Girls (4+),Swimwear,Nike
18030,VIN,Jewelry,Ring,Stamped
18035,BEA,Makeup,Lips,Lush
18075,WOM,Jeans,Boyfriend,Vintage
18120,WOM,Pants,Leather,Others
18130,MEN,Tops,T-shirts,LuLaRoe
18132,WOM,Women's Handbags,Shoulder Bag,Cole Haan
18145,BEA,Skin Care,Face,Too Faced
18201,ELE,Cameras & Photography,Lenses & Filters,Canon
18267,WOM,Pants,Casual Pants,7 For All Mankind®
18300,WOM,Other,Other,Nasty Gal
18303,WOM,Shoes,Flats,Nordstrom
18327,WOM,Women's Accessories,Hats,Timberland
18329,MEN,Men's Accessories,Watches,Burberry
18330,WOM,Tops & Blouses,T-Shirts,ZARA
18358,WOM,Jewelry,Bracelets,Betsey Johnson
18362,WOM,Skirts,Other,Others
18385,WOM,Tops & Blouses,Blouse,Lilly Pulitzer
18419,HOM,Artwork,Other,Others
18425,BEA,Bath & Body,Sets,Victoria's Secret
18472,WOM,Women's Handbags,Messenger & Crossbody,Madewell
18478,WOM,Tops & Blouses,Wrap,Independent
18516,WOM,Coats & Jackets,Fleece Jacket,PINK
18551,MEN,Coats & Jackets,Jean Jacket,Vintage
18558,WOM,Women's Accessories,Other,Brighton
18561,SPO,Apparel,Other,Others
18570,WOM,Tops & Blouses,"Tank, Cami",Athleta
18598,WOM,Sweaters,Cardigan,Buckle
18607,HOM,Furniture,Bedroom Furniture,Others
18612,WOM,Women's Handbags,Backpack Style,Steve Madden
18624,VIN,Book,Crafting,Others
18634,ELE,"TV, Audio & Surveillance",Televisions,AmazonBasics
18640,NOI,no_info,no_info,Bebe
18643,MEN,Coats & Jackets,Jean Jacket,Stussy
18648,WOM,Shoes,Oxfords,Others
18656,WOM,Suits & Blazers,Skirt Suit,Others
18668,WOM,Women's Accessories,Sunglasses,Victoria's Secret
18682,WOM,Athletic Apparel,Socks,Nike
18692,MEN,Sweats & Hoodies,"Sweatshirt, Pullover",Majestic
18701,VIN,Bags and Purses,Change Purse,Others
18722,OTH,Office supplies,Ink & Toner,Others
18746,SPO,Team Sports,Football,Nike
18777,WOM,Dresses,"Above Knee, Mini",Lululemon
18787,KID,Health & Baby Care,Nasal Aspirators,Others
18797,WOM,Dresses,Asymmetrical Hem,Customized & Personalized
18799,OTH,Automotive,Car Care,Others
18831,WOM,Women's Accessories,Scarves & Wraps,Nordstrom
18850,WOM,Jewelry,Bracelets,PINK
18859,WOM,Sweaters,Other,Independent
18864,MEN,Men's Accessories,Hats,Nintendo
18879,MEN,Sweats & Hoodies,Hoodie,Adidas
18910,KID,Boys 0-24 Mos,Shoes,The North Face
18915,WOM,Tops & Blouses,"Tank, Cami",ZARA
18948,KID,Health & Baby Care,Toothbrushes,Others
18954,HOM,Bedding,Mattress Pads,Others
18963,MEN,Men's Accessories,"Backpacks, Bags & Briefcases",Nike
18965,BEA,Makeup,Eyes,Kylie Cosmetics
18978,ELE,Computers & Tablets,Other,Others
18999,WOM,Dresses,Knee-Length,Disney Collection
19023,WOM,Jewelry,Rings,Tiffany & Co.
19083,WOM,Shoes,Boots,Kate Spade
19084,WOM,Athletic Apparel,Shirts & Tops,Independent
19099,WOM,Tops & Blouses,T-Shirts,Madewell
19110,BEA,Skin Care,Face,Tarte
19140,MEN,Men's Accessories,Sunglasses,Versace
19144,WOM,Women's Accessories,Other,Lilly Pulitzer
19154,HAN,Accessories,Wallet,Others
19192,KID,Girls 0-24 Mos,Tops & T-Shirts,Nike
19306,MEN,Athletic Apparel,Socks,Jordan
19315,WOM,Dresses,"Above Knee, Mini",Converse
19325,BEA,Bath & Body,Scrubs & Body Treatments,Lush
19326,WOM,Women's Handbags,Hobo,Cole Haan
19335,MEN,Men's Accessories,"Backpacks, Bags & Briefcases",The North Face
19344,WOM,Tops & Blouses,"Tank, Cami",ASICS
19345,HAN,Weddings,Decorations,Others
19361,VIN,Bags and Purses,Luggage,PINK
19384,KID,Girls (4+),Coats & Jackets,Nike
19389,NOI,no_info,no_info,PINK
19452,WOM,Jewelry,Earrings,MARC BY MARC JACOBS
19494,WOM,Women's Accessories,Hats,Gucci
19503,WOM,Jeans,Leggings,PINK
19516,WOM,Tops & Blouses,Blouse,Chanel
19578,BEA,Makeup,Eyes,Huda Beauty
19679,WOM,Athletic Apparel,Shorts,Nasty Gal
19722,WOM,Jeans,"Slim, Skinny",Bebe
19778,MEN,Tops,T-shirts,PUMA
19789,BEA,Makeup,Makeup Sets,Victoria's Secret
19807,WOM,Women's Handbags,Shoulder Bag,ALDO
19808,WOM,Women's Accessories,Sunglasses,Nasty Gal
19840,ELE,Cell Phones & Accessories,"Cases, Covers & Skins",Beats
19851,KID,Toys,Dress Up & Pretend Play,Star Wars
19863,MEN,Athletic Apparel,Jackets,Carhartt
19866,WOM,Women's Accessories,Hair Accessories,Adidas
19877,WOM,Jewelry,Earrings,Michael Kors
19882,WOM,Women's Handbags,Totes & Shoppers,Louis Vuitton
19901,MEN,Shoes,Slippers,Nike
19915,VIN,Accessories,Eyewear,Others
19947,WOM,Shoes,Athletic,Jordan
20072,MEN,Shoes,Fashion Sneakers,PUMA
20075,HOM,Seasonal Décor,Patriotic,Others
20080,MEN,Sweaters,Cardigan,Others
20136,KID,Health & Baby Care,Humidifiers & Vaporizers,Others
20174,WOM,Women's Accessories,Belts,Brighton
20264,WOM,Women's Accessories,Belts,Louis Vuitton
20318,WOM,Women's Handbags,Backpack Style,VANS
20338,KID,Toys,Stuffed Animals & Plush,Funko
20339,WOM,Women's Accessories,Sunglasses,Christian Dior
20369,WOM,Athletic Apparel,Jackets,lululemon athletica
20374,WOM,Women's Handbags,Messenger & Crossbody,Vintage
20386,VIN,Bags and Purses,Luggage,Louis Vuitton
20387,WOM,Jewelry,Necklaces,ALDO
20390,WOM,Dresses,Knee-Length,Nike
20445,MEN,Sweats & Hoodies,Track & Sweat Pants,Lululemon
20489,VIN,Antique,Housewares,Others
20572,WOM,Shoes,Flats,UGG Australia
20574,WOM,Coats & Jackets,Military,Michael Kors
20590,HAN,Glass,Other,Others
20591,HAN,Holidays,Birthday,Others
20610,KID,Toys,Hobbies,Spin Master
20619,WOM,Dresses,Mid-Calf,Madewell
20686,WOM,Jewelry,Bracelets,Lilly Pulitzer
20737,HOM,Home Décor,Home Décor Accents,Anthropologie
20753,SPO,Exercise,Track & Field,Nike
20798,WOM,Athletic Apparel,Jackets,adidas Originals
20800,WOM,Shoes,Flats,Gucci
20813,HOM,Kitchen & Dining,Storage & Organization,Rae Dunn
20849,HAN,Paper Goods,Journal,Others
20874,WOM,Athletic Apparel,Shorts,The North Face
20959,MEN,Men's Accessories,Wallets,Nike
20994,VIN,Trading Cards,Other,Others
21004,VIN,Jewelry,Bracelet,Vintage
21007,WOM,Jeans,Flare,TopShop
21067,WOM,Athletic Apparel,Jerseys,PINK
21085,SPO,Exercise,Strength training,Others
21126,BEA,Makeup,Makeup Palettes,Bobbi Brown
21204,VIN,Toy,Puzzle,Others
21210,MEN,Coats & Jackets,Fleece Jacket,Nike
21229,HOM,Bath,Other,Others
21241,BEA,Skin Care,Body,Younique
21281,MEN,Shoes,Slippers,Others
21289,BEA,Skin Care,Face,Chanel
21294,WOM,Shoes,Flats,Chanel
21304,WOM,Jewelry,Rings,PINK
21308,MEN,Tops,Button-Front,A|X Armani Exchange
21367,NOI,no_info,no_info,Jordans
21400,WOM,Shoes,Boots,BCBGMAXAZRIA
21418,WOM,Jeans,Flare,Buckle
21489,KID,Boys (4+),Swimwear,Others
21511,WOM,Women's Accessories,Sunglasses,A|X Armani Exchange
21536,VIN,Book,Children,Others
21579,MEN,Men's Accessories,"Backpacks, Bags & Briefcases",Michael Kors
21647,BEA,Fragrance,Men,Victoria's Secret
21659,BEA,Makeup,Face,Lorac
21711,WOM,Coats & Jackets,Fleece Jacket,Carhartt
21724,WOM,Tops & Blouses,Blouse,Kate Spade
21746,HOM,Home Appliances,Microwaves,Others
21752,VIN,Collectibles,Other,Harley-Davidson
21796,WOM,Pants,Other,Independent
21816,WOM,Women's Accessories,Belts,Nike
21819,KID,Boys 2T-5T,Accessories,Nike
21825,WOM,Women's Handbags,Other,Tory Burch
21833,NOI,no_info,no_info,TOMS
21850,WOM,Tops & Blouses,T-Shirts,Bebe
21860,MEN,Sweaters,Full Zip,Buckle
21893,MEN,Shoes,Loafers & Slip-Ons,VANS
21919,WOM,Tops & Blouses,Blouse,patagonia
21933,SPO,Outdoors,Skateboard,Adidas
21938,BEA,Hair Care,Hair Loss Products,Others
21948,BEA,Hair Care,Hair & Scalp Treatments,Lush
21949,WOM,Jewelry,Earrings,Anthropologie
21950,MEN,Pants,Dress - Pleat,Others
21956,MEN,Shoes,Boots,Harley-Davidson
21961,WOM,Jewelry,Rings,Michael Kors
21963,WOM,Tops & Blouses,T-Shirts,Lilly Pulitzer
21966,WOM,Women's Accessories,Sunglasses,vineyard vines
22020,KID,Toys,Toy Remote Control & Play Vehicles,Hasbro
22051,WOM,Women's Handbags,Satchel,Betsey Johnson
22052,KID,Toys,Action Figures & Statues,Harley-Davidson
22062,MEN,Shoes,Sandals,Versace
22071,MEN,Athletic Apparel,Shorts,Lululemon
22117,WOM,Women's Accessories,Watches,Dooney & Bourke
22124,KID,Girls 0-24 Mos,Bottoms,Nike
22129,MEN,Shorts,"Khakis, Chinos",vineyard vines
22179,HAN,Art,Other,Others
22234,WOM,Women's Accessories,Hair Accessories,Customized & Personalized
22242,KID,Girls 0-24 Mos,Dresses,Nike
22244,BEA,Makeup,Makeup Palettes,Christian Dior
22247,HAN,Art,Illustration,Others
22267,MEN,Shorts,Casual Shorts,Lululemon
22288,NOI,no_info,no_info,Chanel
22297,MEN,Jeans,Boot Cut,True Religion Brand Jeans
22337,SPO,Golf,Other,Others
22363,VIN,Paper Ephemera,Other,Others
22408,KID,Girls 0-24 Mos,One-Pieces,adidas Originals
22430,ELE,"TV, Audio & Surveillance",Portable Audio & Accessories,Beats
22445,VIN,Bags and Purses,Luggage,Victoria's Secret
22568,ELE,Video Games & Consoles,Strategy Guides,Others
22575,WOM,Dresses,Full-Length,ASOS
22583,ELE,Cell Phones & Accessories,Cell Phone Accessories,Beats
22670,KID,Girls 2T-5T,Coats & Jackets,Nike
22674,VIN,Collectibles,Porcelain,Tiffany & Co.
22710,WOM,Jeans,Straight Leg,7 For All Mankind®
22719,WOM,Sweaters,Cardigan,ZARA
22743,WOM,Shoes,Loafers & Slip-Ons,ZARA
22772,WOM,Dresses,Knee-Length,Michael Kors
22802,VIN,Electronics,Video Game,Microsoft
22810,WOM,Shoes,Other,PINK
22894,MEN,Tops,Other,Timberland
22904,MEN,Shoes,Oxfords,Others
22923,ELE,Computers & Tablets,"Printers, Scanners & Supplies",Others
22945,WOM,Jewelry,Necklaces,BCBGMAXAZRIA
23042,WOM,Tops & Blouses,Blouse,Nasty Gal
23068,WOM,Tops & Blouses,Other,PINK
23099,VIN,Book,Poetry,Others
23122,MEN,Athletic Apparel,Jerseys,Vintage
23126,VIN,Clothing,Swimwear,Others
23249,WOM,Jewelry,Earrings,Lilly Pulitzer
23290,VIN,Trading Cards,"Historical, Military",Others
23302,BEA,Fragrance,Men,Christian Dior
23322,OTH,Musical instruments,"DJ, Electronic Music & Karaoke",Others
23326,MEN,Tops,T-shirts,Rock Revival
23365,HAN,Bags and Purses,Backpack,Others
23373,WOM,Shoes,Sandals,MARC BY MARC JACOBS
23381,VIN,Bags and Purses,Purse,Others
23428,KID,Toys,Stuffed Animals & Plush,Star Wars
23432,MEN,Sweaters,Crewneck,Vintage
23448,WOM,Other,Other,Juicy Couture
23453,WOM,Tops & Blouses,Knit Top,ZARA
23456,VIN,Clothing,Sweater,Vintage
23464,HAN,Crochet,Other,Others
23489,ELE,"Car Audio, Video & GPS",Car Speakers & Systems,Others
23624,WOM,Pants,Corduroys,Athleta
23653,WOM,Swimwear,Cover-Ups,PINK
23688,WOM,Tops & Blouses,Halter,PINK
23698,BEA,Makeup,Nails,MAC
23732,WOM,Athletic Apparel,Jackets,Michael Kors
23750,WOM,Women's Accessories,Other,MARC JACOBS
23770,MEN,Men's Accessories,Hats,Adidas
23795,WOM,Women's Accessories,Wallets,Lilly Pulitzer
23839,BEA,Makeup,Eyes,Christian Dior
23843,MEN,Men's Accessories,Sunglasses,Vintage
23848,WOM,Shoes,Flats,Betsey Johnson
23929,BEA,Makeup,Eyes,Victoria's Secret
23944,VIN,Jewelry,Pendant,Victoria's Secret
24040,WOM,Women's Handbags,Messenger & Crossbody,True Religion Brand Jeans
24051,HAN,Pets,Feeding,Others
24093,SPO,Outdoors,Hiking & Camping,The North Face
24108,WOM,Jeans,Other,Nordstrom
24176,HOM,Bedding,Other,Others
24259,MEN,Men's Accessories,Wallets,Gucci
24327,HOM,Bedding,Blankets & Throws,Victoria's Secret
24388,WOM,Women's Accessories,Hair Accessories,Victoria's Secret
24422,VIN,Housewares,Tray,Others
24507,VIN,Serving,Salt and Pepper Shakers,Others
24530,WOM,Shoes,Fashion Sneakers,Chanel
24577,ELE,Cell Phones & Accessories,"Cases, Covers & Skins",Victoria's Secret
24665,WOM,Shoes,Fashion Sneakers,New Balance
24672,KID,Toys,Games,Funko
24680,WOM,Women's Handbags,Cosmetic Bags,Younique
24686,MEN,Men's Accessories,Hats,Timberland
24696,ELE,Cameras & Photography,Camera & Photo Accessories,Nikon
